自增ID,统计日期,店铺名称,商品ID,商品名称,SKU ID,SKU名称,加购件数,下单件数,下单买家数,下单金额,支付件数,支付买家数,支付金额,款号,颜色,分款号,波段,链接,上线前三天,记录日期,商品编码
1,2025-09-19,秋水伊人女装官方旗舰店,128655,家居服春季款,498424,SPU000-黑色-XXXL,79,485,249,49745,350,44,31121,SPU000,黑色,SUB358,A波,https://shop.example.com/product/20874,2025-09-19,2025-10-14 19:10:46,SPU000-黑色-XXXL
2,2025-09-03,Massimo Dutti男装官方旗舰店,850369,家居服春季款,761964,SPU000-黑色-XS,48,125,58,24893,92,43,15818,SPU000,黑色,SUB718,D波,https://shop.example.com/product/14501,2025-09-03,2025-10-01 14:29:48,SPU000-黑色-XS
3,2025-09-06,森马男装官方旗舰店,914915,家居服春季款,838239,SPU000-黑色-S,437,165,115,14192,79,78,26909,SPU000,黑色,SUB197,A波,https://shop.example.com/product/99630,2025-09-06,2025-10-06 18:28:51,SPU000-黑色-S
4,2025-10-06,VERO MODA女装官方旗舰店,630888,家居服春季款,566018,SPU000-黑色-XXXL,17,65,64,11877,3,3,18005,SPU000,黑色,SUB813,D波,https://shop.example.com/product/80210,2025-10-06,2025-10-09 14:05:59,SPU000-黑色-XXXL
5,2025-09-13,播官方旗舰店,714110,家居服春季款,223384,SPU000-黑色-XS,714,334,264,32184,24,5,29604,SPU000,黑色,SUB400,B波,https://shop.example.com/product/15218,2025-09-13,2025-10-06 00:18:50,SPU000-黑色-XS
6,2025-09-18,江南布衣女装官方旗舰店,215002,套头卫衣热卖款,820169,SPU001-紫色-XS,79,148,19,13049,84,61,31866,SPU001,紫色,SUB355,A波,https://shop.example.com/product/60764,2025-09-18,2025-10-16 11:09:31,SPU001-紫色-XS
7,2025-10-09,COS女装官方旗舰店,785633,套头卫衣热卖款,285211,SPU001-紫色-XXXL,771,397,22,19810,381,93,14642,SPU001,紫色,SUB448,D波,https://shop.example.com/product/39980,2025-10-09,2025-10-21 16:42:22,SPU001-紫色-XXXL
8,2025-09-13,COS女装官方旗舰店,834821,套头卫衣热卖款,221728,SPU001-紫色-S,207,365,84,9122,227,33,39662,SPU001,紫色,SUB676,A波,https://shop.example.com/product/67422,2025-09-13,2025-10-08 12:17:03,SPU001-紫色-S
9,2025-10-11,GAP童装官方旗舰店,832871,运动长裤夏季款,550859,SPU002-灰色-均码,21,254,181,34417,93,88,24136,SPU002,灰色,SUB750,A波,https://shop.example.com/product/64869,2025-10-11,2025-10-21 09:45:52,SPU002-灰色-均码
10,2025-09-24,秋水伊人官方旗舰店,557484,运动长裤夏季款,684352,SPU002-灰色-XXL,718,242,108,4386,8,1,5717,SPU002,灰色,SUB369,C波,https://shop.example.com/product/72210,2025-09-24,2025-10-23 23:29:24,SPU002-灰色-XXL
11,2025-09-30,ONLY女装官方旗舰店,355047,运动长裤夏季款,244207,SPU002-灰色-M,123,205,6,10616,129,22,37383,SPU002,灰色,SUB291,B波,https://shop.example.com/product/68471,2025-09-30,2025-10-22 19:56:02,SPU002-灰色-M
12,2025-10-18,杰克琼斯官方旗舰店,684443,运动长裤夏季款,375782,SPU002-灰色-XXXL,489,337,34,43008,279,94,38149,SPU002,灰色,SUB523,A波,https://shop.example.com/product/83356,2025-10-15,2025-10-20 22:31:07,SPU002-灰色-XXXL
13,2025-10-16,ONLY官方旗舰店,254546,家居服新款,414932,SPU003-红色-XS,8,20,12,733,7,5,3931,SPU003,红色,SUB622,A波,https://shop.example.com/product/24778,2025-10-14,2025-10-29 07:10:24,SPU003-红色-XS
14,2025-09-07,GXG男装官方旗舰店,656289,家居服新款,109287,SPU003-红色-XL,310,268,70,20940,136,62,31482,SPU003,红色,SUB920,B波,https://shop.example.com/product/34728,2025-09-07,2025-10-07 04:33:52,SPU003-红色-XL
15,2025-09-30,播男装官方旗舰店,601989,家居服新款,324523,SPU003-红色-XL,101,339,88,25418,243,141,35481,SPU003,红色,SUB979,A波,https://shop.example.com/product/29151,2025-09-30,2025-10-22 00:48:32,SPU003-红色-XL
16,2025-10-24,Mango女装官方旗舰店,634635,家居服新款,252465,SPU003-红色-M,139,341,244,33645,65,9,37103,SPU003,红色,SUB268,B波,https://shop.example.com/product/92174,2025-10-14,2025-10-28 18:19:47,SPU003-红色-M
17,2025-09-16,Massimo Dutti男装官方旗舰店,756013,家居服新款,479293,SPU003-红色-均码,461,385,134,26633,211,15,28303,SPU003,红色,SUB143,C波,https://shop.example.com/product/61724,2025-09-16,2025-10-03 06:43:54,SPU003-红色-均码
18,2025-10-21,ZARA女装官方旗舰店,861785,童装套装新款,491834,SPU004-绿色-XL,25,14,7,39743,3,1,8344,SPU004,绿色,SUB590,D波,https://shop.example.com/product/94677,2025-10-13,2025-10-28 07:41:52,SPU004-绿色-XL
19,2025-09-22,优衣库男装官方旗舰店,264925,童装套装新款,353063,SPU004-绿色-XL,1226,446,266,18849,386,254,4918,SPU004,绿色,SUB543,A波,https://shop.example.com/product/64698,2025-09-22,2025-10-06 01:00:56,SPU004-绿色-XL
20,2025-09-27,H&M女装官方旗舰店,914793,童装套装新款,252634,SPU004-绿色-L,98,33,2,24216,5,2,25773,SPU004,绿色,SUB387,D波,https://shop.example.com/product/95218,2025-09-27,2025-10-26 14:46:32,SPU004-绿色-L
21,2025-10-06,韩都衣舍官方旗舰店,976949,童装套装新款,661293,SPU004-绿色-XS,1239,413,167,20194,174,120,33517,SPU004,绿色,SUB599,D波,https://shop.example.com/product/87274,2025-10-06,2025-10-27 04:00:59,SPU004-绿色-XS
22,2025-10-17,VERO MODA女装官方旗舰店,815321,童装套装新款,734603,SPU004-绿色-S,281,355,240,22090,286,46,32091,SPU004,绿色,SUB450,A波,https://shop.example.com/product/42976,2025-10-12,2025-10-29 23:46:12,SPU004-绿色-S
23,2025-10-18,VERO MODA女装官方旗舰店,384427,条纹衬衫秋冬款,402982,SPU005-粉色-XL,608,322,262,14931,137,80,21244,SPU005,粉色,SUB345,B波,https://shop.example.com/product/55680,2025-10-16,2025-10-30 16:38:30,SPU005-粉色-XL
24,2025-09-08,ONLY官方旗舰店,965846,条纹衬衫秋冬款,451271,SPU005-粉色-M,1060,497,346,26970,156,71,17295,SPU005,粉色,SUB712,D波,https://shop.example.com/product/97776,2025-09-08,2025-10-03 02:48:10,SPU005-粉色-M
25,2025-09-29,GAP男装官方旗舰店,742833,条纹衬衫秋冬款,925117,SPU005-粉色-L,142,337,151,12449,96,87,23690,SPU005,粉色,SUB829,C波,https://shop.example.com/product/36799,2025-09-29,2025-10-16 13:40:06,SPU005-粉色-L
26,2025-09-27,GXG男装官方旗舰店,645377,条纹衬衫秋冬款,281839,SPU005-粉色-XL,240,408,370,47365,236,224,19101,SPU005,粉色,SUB753,B波,https://shop.example.com/product/36965,2025-09-27,2025-10-21 05:42:15,SPU005-粉色-XL
27,2025-09-17,Stradivarius官方旗舰店,778929,条纹衬衫秋冬款,948903,SPU005-粉色-S,508,306,191,16097,172,100,31741,SPU005,粉色,SUB834,C波,https://shop.example.com/product/84473,2025-09-17,2025-10-06 05:05:30,SPU005-粉色-S
28,2025-09-26,美特斯邦威官方旗舰店,253448,训练外套夏季款,367099,SPU006-绿色-均码,620,235,18,16550,137,31,24678,SPU006,绿色,SUB932,D波,https://shop.example.com/product/10428,2025-09-26,2025-10-19 07:22:33,SPU006-绿色-均码
29,2025-09-25,COS女装官方旗舰店,367188,训练外套夏季款,619103,SPU006-绿色-XXL,58,34,17,33496,12,9,27557,SPU006,绿色,SUB303,C波,https://shop.example.com/product/16683,2025-09-25,2025-10-10 08:45:45,SPU006-绿色-XXL
30,2025-10-03,秋水伊人女装官方旗舰店,724187,训练外套夏季款,213329,SPU006-绿色-XXL,487,218,111,25354,160,80,7827,SPU006,绿色,SUB243,B波,https://shop.example.com/product/26110,2025-10-03,2025-10-28 13:33:10,SPU006-绿色-XXL
31,2025-09-18,优衣库官方旗舰店,988327,羽绒服新款,173693,SPU007-米色-XXXL,284,185,27,35945,13,8,17590,SPU007,米色,SUB230,A波,https://shop.example.com/product/65478,2025-09-18,2025-10-16 00:00:31,SPU007-米色-XXXL
32,2025-09-27,Stradivarius女装官方旗舰店,792371,羽绒服新款,694088,SPU007-米色-XL,30,104,1,7302,5,2,18164,SPU007,米色,SUB391,D波,https://shop.example.com/product/41546,2025-09-27,2025-10-22 09:02:49,SPU007-米色-XL
33,2025-09-17,优衣库女装官方旗舰店,732984,羽绒服新款,698335,SPU007-米色-XS,136,118,118,36216,28,11,15490,SPU007,米色,SUB255,A波,https://shop.example.com/product/82575,2025-09-17,2025-10-06 06:00:18,SPU007-米色-XS
