自增ID,款号,款式名称商品名称,商品标签,产品分类,中类,退货率,销售数量,净销量,实发数量,实发金额,销售金额,销售成本,实发成本,销售毛利,退货数量,实退数量,退货金额,退货成本,实退成本,实退金额,退货毛利,净销售额,净销售成本,净销售毛利,优惠金额,运费收入,运费支出,基本金额,已付金额,实发退货率,基本售价,五类,延续内容,延续月份,年份,季节,商品状态,折扣,现货,货量,主仓,SKC库存,净销售金额,设计师(人员),元素类型,上新波次,销售顶峰,可售周期,小波段,超级直播,延续方向,延续结果,复盘结论,开售评级
1,SPU000,家居服春季款,设计师款,内衣,家居服,0.0357,4508,4347,3896,24394.98,10773.34,7385.83,8191.45,3387.51,161,104,973.68,627.21,741.73,592.14,376.815,10181.2,6644.1,3537.1,1015.93,45.66,5.25,12420.56,8997.44,0.0267,463.84,D类,经典款,3月,2025,春季,在售,0.5,581,1234,219,475,10181.2,普军,时尚,第三波,12月,长期,B波,是,创新,一般,好,C
2,SPU001,套头卫衣热卖款,爆款,男装,卫衣,0.0451,2107,2012,1380,39747.62,28821.28,17376.73,25072.64,11444.55,95,1,2367.36,384.78,2256.55,996.33,1186.752,27824.95,15120.18,12704.77,767.52,7.03,9.71,25916.64,24560.26,0.0007,155.98,C类,改进款,5月,2025,冬季,下架,0.51,669,736,1418,120,27824.95,邵瑜,简约,第一波,12月,1年,B波,是,创新,成功,需改进,C
3,SPU002,运动长裤夏季款,设计师款,运动,运动裤,0.0398,3917,3761,3062,49453.06,19307.62,11213.41,27972.52,8094.21,156,116,783.46,500.62,1301.08,2660.43,936.205,16647.19,9912.33,6734.86,1710.31,4.09,13.4,20881.32,15747.69,0.0379,303.88,A类,无,9月,2023,秋季,下架,0.57,335,1749,1065,226,16647.19,张俊,简约,第二波,全年平销,长期,A波,是,延续,待评估,一般,E
4,SPU003,家居服新款,联名,内衣,家居服,0.0832,3787,3472,1621,13468.4,1147.76,444.37,4384.02,703.39,315,11,171.22,62.59,30.8,23.21,13.831,1124.55,413.57,710.98,107.94,1.59,12.27,1271.25,1094.01,0.0068,490.25,未分组,经典款,6月,2024,夏季,清仓,0.69,699,1974,1355,447,1124.55,刘秀珍,商务,第二波,9月,3个月,B波,是,改进,一般,好,A
5,SPU004,童装套装新款,新品,童装,套装,0.1355,3107,2686,1013,23570.64,8600.95,3228.73,14703.16,5372.22,421,117,590.83,378.56,378.31,1139.88,718.405,7461.07,2850.42,4610.65,98.12,10.3,3.03,6996.28,7909.06,0.1155,366.48,A类,升级款,12月,2023,夏季,清仓,0.62,222,1544,115,71,7461.07,沈华,商务,第三波,6月,1年,E波,是,改进,失败,一般,E
6,SPU005,条纹衬衫秋冬款,爆款,男装,衬衫,0.1423,499,428,320,34258.76,28236.68,9000.54,21045.9,19236.14,71,22,1542.37,614.61,900.63,1643.89,594.213,26592.79,8099.91,18492.88,1239.07,37.72,14.21,32182.37,24287.7,0.0688,368.41,D类,延续款,9月,2024,夏季,下架,0.76,397,497,522,104,26592.79,黄峰,时尚,第一波,12月,1年,A波,否,延续,失败,优秀,E
7,SPU006,训练外套夏季款,热卖,运动,运动外套,0.1427,4813,4126,1777,24490.32,43604.22,18888.73,16771.73,24715.49,687,572,1152.21,2832.18,229.44,6278.26,1904.302,37325.96,18659.29,18666.67,1388.07,30.22,6.14,50844.73,39697.97,0.3219,398.98,D类,经典款,9月,2025,春季,预售,0.63,525,1807,1018,238,37325.96,毛丽华,简约,第四波,9月,6个月,C波,是,停用,成功,一般,B
8,SPU007,羽绒服新款,联名,女装,外套,0.09,4744,4317,1248,10613.4,12270.91,6478.01,4617.1,5792.9,427,151,1434.11,507.92,564.17,544.86,644.739,11726.05,5913.84,5812.21,939.5,23.04,21.98,11545.34,10160.21,0.121,295.95,B类,无,11月,2023,秋季,在售,0.92,76,1935,1368,24,11726.05,彭俊,简约,第四波,6月,6个月,A波,否,延续,一般,优秀,C
9,SPU008,开衫春季款,设计师款,女装,毛衣,0.1481,54,46,26,1580.7,26941.46,11043.2,915.45,15898.26,8,8,1893.45,1563.27,136.94,3956.28,557.987,22985.18,10906.26,12078.92,2495.44,26.22,7.23,28232.29,22913.27,0.3077,209.5,D类,延续款,6月,2024,夏季,下架,0.62,713,462,614,350,22985.18,吴琳,简约,第一波,3月,长期,D波,是,停用,成功,好,B
10,SPU009,开衫热卖款,清仓,女装,毛衣,0.1065,2713,2424,2163,46038.46,12258.56,8096.89,14668.99,4161.67,289,48,250.18,1130.18,723.46,1310.69,565.586,10947.87,7373.43,3574.44,744.29,1.65,27.86,11348.9,12164.09,0.0222,314.17,未分组,经典款,2月,2024,秋冬,下架,0.62,854,1739,796,346,10947.87,张平,商务,第三波,12月,6个月,A波,是,延续,成功,优秀,B
11,SPU010,套头卫衣秋冬款,爆款,女装,卫衣,0.0702,242,225,125,12178.78,28098.85,12649.28,4071.09,15449.57,17,14,2714.52,1539.77,1164.02,1011.65,1696.907,27087.2,11485.26,15601.94,488.45,7.71,21.35,29603.83,26635.77,0.112,192.51,A类,延续款,1月,2024,夏季,预售,0.88,104,271,178,95,27087.2,虞楠,休闲,第四波,全年平销,长期,A波,否,延续,失败,好,E
12,SPU011,运动T恤春季款,联名,运动,运动T恤,0.0883,2390,2179,346,36517.35,28417.29,19809.47,16516.53,8607.82,211,99,836.54,1033.23,1643.29,1249.9,680.339,27167.39,18166.18,9001.21,445.98,21.73,12.63,28238.05,23171.01,0.2861,163.26,B类,经典款,10月,2025,秋冬,清仓,0.55,311,13,810,170,27167.39,李宇,商务,第四波,9月,长期,C波,是,改进,失败,需改进,E
13,SPU012,条纹衬衫夏季款,设计师款,男装,衬衫,0.05,3262,3099,3010,35052.93,25059.36,13290.27,21534.65,11769.09,163,74,1531.18,1867.14,832.61,1101.09,446.896,23958.27,12457.66,11500.61,2499.77,9.0,23.03,20317.29,23692.19,0.0246,474.34,B类,经典款,无,2024,冬季,在售,0.91,814,1628,837,344,23958.27,徐杨,休闲,第二波,9月,6个月,C波,否,停用,待评估,好,D
14,SPU013,套头卫衣新款,新品,运动,卫衣,0.1031,4150,3722,301,39745.32,18616.95,12253.69,13662.37,6363.26,428,278,833.15,1262.83,1217.35,1585.55,211.816,17031.4,11036.34,5995.06,1212.73,28.16,19.35,19709.72,18493.37,0.9236,199.22,D类,延续款,1月,2023,春季,停售,0.76,531,1142,1188,352,17031.4,何琳,商务,第二波,12月,1年,D波,是,改进,失败,好,D
15,SPU014,西装外套春季款,联名,女装,外套,0.0379,950,914,319,17810.27,39429.23,20047.63,10306.9,19381.6,36,22,2154.7,1043.22,474.47,2316.94,2392.194,37112.29,19573.16,17539.13,802.69,42.46,19.44,42223.02,32839.46,0.069,492.76,B类,无,3月,2025,秋冬,预售,0.78,981,946,474,408,37112.29,周鑫,休闲,第二波,6月,长期,D波,否,改进,待评估,优秀,D
16,SPU015,牛仔裤秋冬款,联名,女装,下装,0.1426,512,439,191,18923.86,10656.64,3682.74,8049.48,6973.9,73,13,686.39,239.22,289.2,1107.21,181.269,9549.43,3393.54,6155.89,444.15,22.89,5.18,11396.59,10231.68,0.0681,463.41,E类,延续款,11月,2023,春季,在售,0.62,119,374,764,355,9549.43,周雷,复古,特别款,12月,长期,E波,否,停用,待评估,一般,D
17,SPU016,运动长裤经典款,热卖,运动,运动裤,0.03,2366,2295,1288,42257.28,31351.09,20259.35,26456.71,11091.74,71,23,4543.9,1636.17,1577.09,4491.29,879.528,26859.8,18682.26,8177.54,2245.45,20.78,25.2,31209.38,25599.23,0.0179,63.89,B类,改进款,1月,2024,秋冬,下架,0.64,799,936,1158,380,26859.8,陈莉,休闲,特别款,全年平销,3个月,E波,否,创新,失败,好,D
18,SPU017,速干短裤春季款,设计师款,运动,运动裤,0.075,2027,1875,921,13877.95,43247.78,14479.06,5478.72,28768.72,152,8,5341.03,1336.55,382.74,5671.54,1699.895,37576.24,14096.32,23479.92,3198.95,31.64,4.98,37006.87,36385.39,0.0087,143.12,A类,无,6月,2025,春季,下架,0.77,331,1441,599,148,37576.24,何晶,商务,第三波,全年平销,3个月,B波,是,延续,失败,一般,B
19,SPU018,休闲裤秋冬款,设计师款,男装,下装,0.0992,2027,1826,291,29293.85,14167.14,6597.5,9879.0,7569.64,201,125,1164.34,322.96,651.23,1038.15,1067.978,13128.99,5946.27,7182.72,612.25,47.51,9.82,11347.73,13527.17,0.4296,379.73,未分组,经典款,11月,2025,冬季,预售,0.93,814,1094,814,111,13128.99,刘彬,休闲,第二波,12月,1年,C波,是,创新,一般,优秀,C
20,SPU019,针织连衣裙热卖款,热卖,女装,连衣裙,0.0043,3764,3748,3512,8741.19,23369.39,16282.28,5706.77,7087.11,16,3,1221.31,2156.09,2432.53,1633.33,940.625,21736.06,13849.75,7886.31,430.01,18.02,2.47,24907.18,21728.44,0.0009,73.3,未分组,改进款,12月,2025,秋冬,清仓,0.83,720,194,2,109,21736.06,严畅,休闲,第一波,6月,6个月,E波,是,延续,成功,需改进,A
21,SPU020,家居服春季款,设计师款,内衣,家居服,0.1045,1875,1679,1496,40491.88,6056.88,2707.57,24346.27,3349.31,196,22,173.47,403.46,172.15,314.33,100.477,5742.55,2535.42,3207.13,349.76,0.42,19.5,5911.76,5720.64,0.0147,332.64,B类,经典款,10月,2025,夏季,停售,0.54,102,286,252,301,5742.55,谢倩,运动,第四波,9月,长期,C波,否,改进,失败,好,B
22,SPU021,速干T恤热卖款,热卖,运动,运动T恤,0.0425,2471,2366,2087,10243.68,20195.8,11278.71,5100.89,8917.09,105,66,520.73,901.64,1366.18,2418.09,830.628,17777.71,9912.53,7865.18,1162.18,48.88,29.61,23701.18,16689.74,0.0316,437.37,E类,经典款,6月,2025,冬季,停售,0.88,977,1577,149,8,17777.71,张玉珍,商务,第一波,3月,1年,B波,否,延续,待评估,需改进,E
23,SPU022,家居服春季款,清仓,内衣,家居服,0.1251,4395,3845,2273,5096.26,4872.06,3256.34,2325.39,1615.72,550,156,481.37,413.01,103.4,713.29,170.213,4158.77,3152.94,1005.83,77.71,34.93,21.9,5547.27,3954.07,0.0686,88.8,D类,延续款,8月,2025,秋季,在售,0.65,759,1347,359,61,4158.77,王芳,简约,第二波,3月,6个月,D波,是,创新,一般,需改进,B
24,SPU023,休闲衬衫秋冬款,新品,童装,上装,0.079,3517,3239,261,13884.53,48777.48,26877.03,6940.1,21900.45,278,268,4358.95,1652.3,2190.73,3875.89,1001.206,44901.59,24686.3,20215.29,939.52,28.7,21.68,43478.38,43985.82,1.0268,69.82,A类,升级款,1月,2024,春季,清仓,0.96,183,1907,72,283,44901.59,李宁,运动,第四波,6月,1年,B波,是,创新,失败,好,E
25,SPU024,POLO衫热卖款,设计师款,童装,上装,0.051,431,409,411,26272.93,3250.5,1496.43,16760.52,1754.07,22,7,181.45,130.84,196.4,431.6,19.498,2818.9,1300.03,1518.87,91.21,28.19,9.12,3410.06,2902.0,0.017,316.26,D类,升级款,12月,2025,秋冬,停售,0.5,419,48,477,277,2818.9,王琴,时尚,第一波,9月,3个月,D波,是,延续,一般,一般,D
26,SPU025,家居服热卖款,新品,内衣,家居服,0.0205,2292,2245,948,44967.09,26468.2,15360.52,23936.35,11107.68,47,2,2137.57,1523.92,2249.36,1644.97,724.323,24823.23,13111.16,11712.07,1674.66,3.11,19.87,22558.41,22718.59,0.0021,432.91,D类,改进款,6月,2024,春季,停售,0.54,207,278,1197,55,24823.23,解东,复古,第一波,6月,长期,D波,是,停用,成功,需改进,B
27,SPU026,家居服秋冬款,清仓,内衣,家居服,0.0234,982,959,826,34616.69,41492.95,24014.09,12438.8,17478.86,23,5,4546.05,3495.88,3050.5,649.21,1144.415,40843.74,20963.59,19880.15,597.73,14.94,24.6,36080.07,41095.42,0.0061,434.57,E类,无,4月,2023,夏季,在售,0.9,143,248,24,31,40843.74,程建国,复古,第二波,6月,长期,C波,否,创新,成功,好,A
28,SPU027,套头卫衣夏季款,联名,男装,卫衣,0.1434,753,645,339,7003.86,47171.75,15106.99,3207.76,32064.76,108,106,666.42,1596.05,1067.19,6574.73,1096.391,40597.02,14039.8,26557.22,1383.29,9.36,8.4,54406.46,38064.29,0.3127,328.63,B类,改进款,8月,2024,秋季,清仓,0.53,286,784,281,214,40597.02,董红,复古,特别款,6月,3个月,D波,是,停用,待评估,需改进,E
29,SPU028,运动T恤秋冬款,限量,运动,运动T恤,0.0041,1473,1467,1222,11731.99,44892.47,27447.94,5196.96,17444.53,6,2,4119.26,1168.92,4084.65,817.17,564.286,44075.3,23363.29,20712.01,1450.35,12.06,16.01,50122.21,42531.67,0.0016,393.82,B类,无,无,2024,春季,停售,0.59,606,651,1428,183,44075.3,葛芳,商务,第一波,9月,6个月,E波,否,停用,失败,一般,D
30,SPU029,伞裙夏季款,热卖,女装,半身裙,0.0455,4928,4704,4312,24421.46,17254.97,9415.24,16301.63,7839.73,224,5,2212.08,520.69,543.32,2120.68,102.448,15134.29,8871.92,6262.37,1083.52,45.86,23.23,19646.38,16774.14,0.0012,482.25,C类,经典款,10月,2023,春季,预售,0.66,999,322,1499,485,15134.29,吕杰,休闲,第四波,9月,6个月,E波,是,改进,一般,优秀,C
31,SPU030,牛仔裤热卖款,设计师款,童装,下装,0.1429,14,12,6,42687.09,38770.69,20431.89,29326.57,18338.8,2,2,1586.7,1822.06,1114.57,1376.03,2588.27,37394.66,19317.32,18077.34,878.46,37.27,7.14,46251.57,32318.37,0.3333,448.39,A类,改进款,8月,2023,春季,停售,0.62,69,717,525,402,37394.66,李秀华,简约,第一波,3月,长期,D波,是,改进,待评估,优秀,D
32,SPU031,运动套装经典款,新品,童装,套装,0.1407,4735,4069,1332,23113.08,40160.53,12584.91,7619.92,27575.62,666,230,1358.02,787.36,585.93,514.49,3101.648,39646.04,11998.98,27647.06,2378.88,44.91,2.79,41671.06,37057.28,0.1727,267.23,A类,经典款,11月,2023,秋季,清仓,0.58,103,678,420,498,39646.04,黄凯,复古,第四波,全年平销,1年,C波,是,改进,成功,好,D
33,SPU032,连帽卫衣春季款,热卖,运动,卫衣,0.0003,2955,2954,358,15432.92,33438.99,18059.94,8569.53,15379.05,1,1,4908.45,1377.97,245.67,1269.16,402.489,32169.83,17814.27,14355.56,2696.48,23.55,26.85,30295.78,31043.86,0.0028,224.39,C类,经典款,6月,2023,夏季,在售,0.63,476,539,463,428,32169.83,刘平,时尚,特别款,3月,6个月,A波,否,创新,待评估,一般,E
34,SPU033,长袖T恤新款,设计师款,女装,T恤,0.062,3889,3648,1224,4868.8,45236.08,26495.78,2573.62,18740.3,241,121,6676.2,811.9,3605.11,3632.2,2677.908,41603.88,22890.67,18713.21,2280.51,47.45,5.01,40022.9,37932.5,0.0989,69.2,A类,经典款,4月,2025,秋冬,下架,0.63,932,1489,137,44,41603.88,王刚,休闲,特别款,12月,1年,C波,是,延续,待评估,好,D
35,SPU034,休闲裤新款,清仓,男装,下装,0.0214,4773,4671,4609,39197.69,39501.54,25557.11,17765.07,13944.43,102,13,3080.4,2434.43,3396.67,5262.36,212.586,34239.18,22160.44,12078.74,1374.15,7.19,18.26,42561.51,31907.63,0.0028,450.31,C类,升级款,1月,2025,夏季,预售,0.95,20,691,620,159,34239.18,王丽华,时尚,第四波,3月,6个月,B波,是,停用,失败,需改进,D
36,SPU035,训练外套经典款,清仓,运动,运动外套,0.1202,1731,1523,992,38215.17,43492.26,27330.84,22311.08,16161.42,208,189,2891.1,3259.81,881.59,3572.36,1347.864,39919.9,26449.25,13470.65,2660.88,8.69,26.26,38285.83,35295.08,0.1905,64.88,A类,改进款,12月,2023,春季,预售,0.91,517,812,1301,472,39919.9,朱红梅,简约,第一波,6月,1年,D波,是,改进,待评估,需改进,C
37,SPU036,羽绒服热卖款,热卖,男装,外套,0.0486,740,704,395,3432.9,42837.25,26213.49,1960.45,16623.76,36,1,2042.12,1764.98,1074.47,1713.69,212.906,41123.56,25139.02,15984.54,3436.72,38.38,0.27,49888.53,39816.12,0.0025,320.51,A类,升级款,5月,2025,春季,预售,0.71,385,1744,714,235,41123.56,杨丽,时尚,第二波,12月,1年,E波,是,延续,成功,需改进,E
38,SPU037,运动T恤热卖款,联名,运动,运动T恤,0.139,885,762,344,49429.69,32389.14,20877.93,20736.57,11511.21,123,8,1003.74,2446.19,2287.24,1508.06,1565.02,30881.08,18590.69,12290.39,2671.74,40.12,18.0,34468.92,30321.13,0.0233,374.58,未分组,经典款,5月,2024,夏季,清仓,0.69,36,1194,1450,292,30881.08,梁秀英,复古,第三波,6月,长期,C波,是,改进,一般,需改进,A
39,SPU038,家居服热卖款,清仓,内衣,家居服,0.0408,4579,4392,2749,33067.3,11890.42,4629.31,14836.4,7261.11,187,174,1093.68,346.86,318.8,1569.54,192.342,10320.88,4310.51,6010.37,176.35,31.72,17.41,12464.27,10635.31,0.0633,137.54,A类,经典款,9月,2024,夏季,在售,0.94,154,281,410,175,10320.88,曾琳,休闲,特别款,12月,6个月,C波,否,延续,待评估,需改进,B
40,SPU039,休闲衬衫经典款,爆款,童装,上装,0.0478,2240,2133,690,29237.67,8763.32,5381.42,16179.98,3381.9,107,97,582.54,781.09,151.31,1044.28,215.306,7719.04,5230.11,2488.93,117.39,9.97,11.19,7060.0,7575.39,0.1406,424.95,B类,延续款,11月,2023,冬季,停售,0.61,898,705,639,66,7719.04,邓春梅,简约,第四波,全年平销,1年,B波,否,延续,失败,需改进,D
41,SPU040,运动T恤热卖款,热卖,运动,运动T恤,0.0794,1096,1009,735,37755.66,9079.29,6017.37,22308.59,3061.92,87,62,257.57,678.58,76.28,1122.94,283.402,7956.35,5941.09,2015.26,228.88,18.33,19.52,7399.13,8855.11,0.0844,165.11,E类,无,1月,2025,春夏,在售,0.83,20,98,1412,59,7956.35,方桂芝,休闲,第四波,12月,3个月,E波,是,停用,一般,一般,A
42,SPU041,运动套装热卖款,新品,童装,套装,0.0648,4262,3986,3431,41701.98,6140.8,3607.76,20813.28,2533.04,276,70,584.97,429.01,93.66,162.63,320.201,5978.17,3514.1,2464.07,599.22,17.9,12.29,5306.57,5585.84,0.0204,459.66,未分组,经典款,6月,2023,春夏,在售,0.84,928,226,1175,342,5978.17,王凤英,休闲,第二波,3月,3个月,A波,是,改进,待评估,需改进,C
